date,time,consumption,prediction
2015-06-08,22:30,31141,31389.853051185608
2015-06-08,22:40,31041,31023.362084388733
2015-06-08,22:50,30531,30847.489302635193
2015-06-08,23:00,30050,30352.749150276184
2015-06-08,23:10,29379,29785.41067123413
2015-06-08,23:20,29006,28984.36229133606
2015-06-08,23:30,28629,28584.787675857544
2015-06-08,23:40,28128,28111.862054347992
2015-06-08,23:50,27745,27682.266530036926
2015-06-09,00:00,27396,27326.537626743317
2015-06-09,00:10,27454,26955.23359489441
2015-06-09,00:20,27234,27025.000319480896
2015-06-09,00:30,26709,26846.622557640076
2015-06-09,00:40,26702,26414.595148086548
2015-06-09,00:50,26141,26260.11544942856
2015-06-09,01:00,26022,25934.165122509003
2015-06-09,01:10,25833,25696.588438510895
2015-06-09,01:20,25533,25497.130386829376
2015-06-09,01:30,25381,25340.065369606018
2015-06-09,01:40,25103,25155.978307724
2015-06-09,01:50,25091,24889.663496494293
2015-06-09,02:00,24733,24863.950573921204
2015-06-09,02:10,24572,24600.198033332825
2015-06-09,02:20,24254,24440.13546895981
2015-06-09,02:30,24177,24114.989185333252
2015-06-09,02:40,24057,24053.846006155014
2015-06-09,02:50,24028,23876.394112348557
2015-06-09,03:00,23915,23831.75028347969
2015-06-09,03:10,23627,23788.576912164688
2015-06-09,03:20,23602,23620.027114391327
2015-06-09,03:30,23555,23570.68513083458
2015-06-09,03:40,23762,23525.630390405655
2015-06-09,03:50,23837,23705.255044937134
2015-06-09,04:00,23681,23705.14507341385
2015-06-09,04:10,23570,23654.52590560913
2015-06-09,04:20,23665,23585.508238554
2015-06-09,04:30,23861,23641.4402821064
2015-06-09,04:40,24129,23891.25047492981
2015-06-09,04:50,23950,24282.190021038055
2015-06-09,05:00,23775,24180.987245082855
2015-06-09,05:10,23674,24035.03396129608
2015-06-09,05:20,24013,23805.234305381775
2015-06-09,05:30,23951,24172.414734363556
2015-06-09,05:40,24107,24238.31533432007
2015-06-09,05:50,24348,24465.54086637497
2015-06-09,06:00,24336,24526.598109722137
2015-06-09,06:10,25076,24645.907334804535
2015-06-09,06:20,25532,25307.650769233704
2015-06-09,06:30,25333,26044.679918289185
2015-06-09,06:40,25758,25997.770149230957
2015-06-09,06:50,26012,26230.265753746033
2015-06-09,07:00,25908,26604.902515411377
2015-06-09,07:10,26986,26543.303975105286
2015-06-09,07:20,27426,27405.827753543854
2015-06-09,07:30,27786,27856.837433338165
2015-06-09,07:40,28194,28421.897460460663
2015-06-09,07:50,28832,28826.47149991989
2015-06-09,08:00,28811,29473.079033374786
2015-06-09,08:10,29661,29649.834879875183
2015-06-09,08:20,30283,30175.46715259552
2015-06-09,08:30,30199,30609.721650123596
2015-06-09,08:40,30803,30782.513912200928
2015-06-09,08:50,30802,31111.69226551056
2015-06-09,09:00,30700,30911.480875968933
2015-06-09,09:10,31161,31060.396805763245
2015-06-09,09:20,31677,31200.417553901672
2015-06-09,09:30,31649,31671.90037536621
2015-06-09,09:40,31971,31781.94828605652
2015-06-09,09:50,31911,31991.5684967041
2015-06-09,10:00,32182,32021.931173324585
2015-06-09,10:10,32490,32356.11158466339
2015-06-09,10:20,32588,32553.41103363037
2015-06-09,10:30,32665,32680.59606361389
2015-06-09,10:40,32901,32667.462697982788
2015-06-09,10:50,33036,32889.94891834259
2015-06-09,11:00,32912,33195.23908615112
2015-06-09,11:10,33278,32974.6665019989
2015-06-09,11:20,33320,33224.67062664032
2015-06-09,11:30,33332,33313.359038352966
2015-06-09,11:40,33636,33346.40712738037
2015-06-09,11:50,33424,33549.602893829346
2015-06-09,12:00,33596,33499.91815471649
2015-06-09,12:10,33750,33599.26129245758
2015-06-09,12:20,33945,33742.361243247986
2015-06-09,12:30,34019,33938.53990459442
2015-06-09,12:40,34008,34008.09985637665
2015-06-09,12:50,34181,34055.022795677185
2015-06-09,13:00,34083,34137.868887901306
2015-06-09,13:10,34204,34082.257539749146
2015-06-09,13:20,34396,34179.12203788757
2015-06-09,13:30,34271,34221.84893798828
2015-06-09,13:40,34204,34278.49415016174
2015-06-09,13:50,33990,34274.38503456116
2015-06-09,14:00,33642,34117.914653778076
2015-06-09,14:10,33681,33553.03374195099
2015-06-09,14:20,33414,33559.52930545807
2015-06-09,14:30,33419,33335.8788356781
2015-06-09,14:40,33008,33307.22302246094
2015-06-09,14:50,32954,32896.2245388031
2015-06-09,15:00,32762,32717.44903564453
2015-06-09,15:10,32833,32599.092019081116
2015-06-09,15:20,32884,32718.316954612732
2015-06-09,15:30,32728,32820.14531707764
2015-06-09,15:40,32815,32668.617728233337
2015-06-09,15:50,32665,32692.366309165955
2015-06-09,16:00,32723,32588.4596824646
2015-06-09,16:10,32969,32664.720653533936
2015-06-09,16:20,32858,32927.03236961365
2015-06-09,16:30,33154,32894.53347969055
2015-06-09,16:40,33107,33196.70361709595
2015-06-09,16:50,32941,33253.61486816406
2015-06-09,17:00,32624,33048.78204059601
2015-06-09,17:10,32737,32670.20605945587
2015-06-09,17:20,32889,32706.03965473175
2015-06-09,17:30,32811,32870.54388332367
2015-06-09,17:40,32802,32810.67064476013
2015-06-09,17:50,32645,32746.44200706482
2015-06-09,18:00,32567,32605.15428161621
2015-06-09,18:10,32565,32621.643424987793
2015-06-09,18:20,32411,32595.359572410583
2015-06-09,18:30,32225,32368.05436038971
2015-06-09,18:40,32500,32140.05507659912
2015-06-09,18:50,32221,32372.20957183838
2015-06-09,19:00,31966,32239.10715198517
2015-06-09,19:10,31846,31953.00734424591
2015-06-09,19:20,31920,31765.280027389526
2015-06-09,19:30,31511,31834.4633102417
2015-06-09,19:40,31531,31432.830185890198
2015-06-09,19:50,31681,31497.477637290955
2015-06-09,20:00,31610,31514.832065582275
2015-06-09,20:10,31795,31538.61620616913
2015-06-09,20:20,31840,31716.552764892578
2015-06-09,20:30,31414,31838.008739471436
2015-06-09,20:40,31349,31409.09477519989
2015-06-09,20:50,31365,31306.526245117188
2015-06-09,21:00,31433,31232.321148872375
2015-06-09,21:10,31662,31405.13053226471
2015-06-09,21:20,31724,31524.687357902527
2015-06-09,21:30,31763,31675.0651845932
2015-06-09,21:40,31756,31779.586861610413
2015-06-09,21:50,32178,31778.352809906006
2015-06-09,22:00,32040,32090.143809318542
2015-06-09,22:10,31726,31985.315265655518
2015-06-09,22:20,31546,31758.44335460663
2015-06-09,22:30,30901,31435.107320785522
2015-06-09,22:40,30447,30725.90162563324
2015-06-09,22:50,30263,30200.99635028839
2015-06-09,23:00,29479,29853.726035118103
2015-06-09,23:10,29033,29159.891988277435
2015-06-09,23:20,28686,28647.93371963501
2015-06-09,23:30,28415,28132.27527141571
2015-06-09,23:40,28099,27921.56522321701
2015-06-09,23:50,27476,27700.05755186081
2015-06-10,00:00,27262,27189.804829597473
2015-06-10,00:10,27347,26926.171479701996
2015-06-10,00:20,27091,26845.187001228333
2015-06-10,00:30,26864,26717.267730236053
2015-06-10,00:40,26573,26459.729568481445
2015-06-10,00:50,26338,26263.960501670837
2015-06-10,01:00,26132,26072.540907382965
2015-06-10,01:10,25816,25903.291440486908
2015-06-10,01:20,25437,25554.521693229675
2015-06-10,01:30,25441,25275.275021076202
2015-06-10,01:40,24965,25224.785580158234
2015-06-10,01:50,25271,24773.096974372864
2015-06-10,02:00,24936,25010.69868183136
2015-06-10,02:10,24584,24735.67373085022
2015-06-10,02:20,24228,24454.639856815338
2015-06-10,02:30,24153,24107.939813137054
2015-06-10,02:40,24002,24012.560918331146
2015-06-10,02:50,24053,23872.31989789009
2015-06-10,03:00,24053,23904.568882465363
2015-06-10,03:10,23921,23809.344408750534
2015-06-10,03:20,24043,23808.350713968277
2015-06-10,03:30,23742,23926.84799361229
2015-06-10,03:40,23857,23729.706587553024
2015-06-10,03:50,23611,23768.26543521881
2015-06-10,04:00,23609,23625.535238981247
2015-06-10,04:10,23976,23600.29842066765
2015-06-10,04:20,23642,23876.451402902603
